fileName,totalCount,surpriseCount,index_pairs,surpriseScore,threshold
245399.txt,18.0,3,"1,2|2,3|17,18|",0.16666666666666666,0.32500024999999999
58338.txt,25.0,2,"15,16|16,17|",0.080000000000000002,0.336511
236377.txt,9.0,1,"6,7|",0.1111111111111111,0.26716899999999999
264343.txt,23.0,2,"3,4|16,17|",0.086956521739130432,0.28314600000000001
167194.txt,27.0,3,"2,3|11,12|17,18|",0.1111111111111111,0.39152850000000006
13885.txt,23.0,3,"7,8|8,9|14,15|",0.13043478260869565,0.2764645
193015.txt,27.0,1,"9,10|",0.037037037037037035,0.31669249999999999
61552.txt,28.0,3,"3,4|4,5|7,8|",0.10714285714285714,0.38604425000000003
248656.txt,27.0,2,"18,19|19,20|",0.07407407407407407,0.36751100000000003
71741.txt,25.0,3,"6,7|17,18|20,21|",0.12,0.16669
271969.txt,15.0,1,"10,11|",0.066666666666666666,0.27553300000000003
151397.txt,25.0,2,"21,22|22,23|",0.080000000000000002,0.33854699999999999
137012.txt,21.0,2,"4,5|5,6|",0.095238095238095233,0.367761
146833.txt,21.0,3,"16,17|19,20|20,21|",0.14285714285714285,0.24911799999999998
168516.txt,49.0,5,"34,35|35,36|36,37|40,41|43,44|",0.10204081632653061,0.34460100000000005
189924.txt,23.0,3,"7,8|15,16|16,17|",0.13043478260869565,0.24304950000000003
207169.txt,21.0,1,"15,16|",0.047619047619047616,0.38850100000000004
224968.txt,16.0,1,"9,10|",0.0625,0.35268875
267689.txt,17.0,1,"15,16|",0.058823529411764705,0.31669000000000003
189930.txt,24.0,2,"13,14|23,24|",0.083333333333333329,0.25754725000000001
34547.txt,39.0,4,"23,24|26,27|34,35|37,38|",0.10256410256410256,0.25967899999999999
182454.txt,25.0,2,"9,10|18,19|",0.080000000000000002,0.32375700000000002
225135.txt,49.0,4,"8,9|18,19|43,44|47,48|",0.081632653061224483,0.35258099999999998
1656.txt,133.0,13,"17,18|66,67|67,68|71,72|75,76|78,79|108,109|109,110|110,111|111,112|112,113|123,124|127,128|",0.097744360902255634,0.28720400000000001
225121.txt,11.0,1,"10,11|",0.090909090909090912,0.33090600000000003
38180.txt,23.0,2,"5,6|17,18|",0.086956521739130432,0.3287235
